Time,Average,Year,Month,Day,YearMonth,Index
2021-03-17,57.85416666666667,2021,3,17,2021-03,1
2021-03-18,57.89444444444443,2021,3,18,2021-03,1
2021-03-19,57.857342657342656,2021,3,19,2021-03,1
2021-03-20,59.01944444444443,2021,3,20,2021-03,1
2021-03-21,66.63055555555556,2021,3,21,2021-03,1
2021-03-22,57.386111111111106,2021,3,22,2021-03,1
2021-03-23,57.25833333333334,2021,3,23,2021-03,1
2021-03-24,57.49861111111111,2021,3,24,2021-03,1
2021-03-25,57.60138888888889,2021,3,25,2021-03,1
2021-03-26,57.6141317016317,2021,3,26,2021-03,1
2021-03-27,57.783333333333324,2021,3,27,2021-03,1
2021-03-28,62.30546690307328,2021,3,28,2021-03,1
2021-03-29,57.547911810411804,2021,3,29,2021-03,1
2021-03-30,57.840277777777786,2021,3,30,2021-03,1
2021-03-31,57.79999999999999,2021,3,31,2021-03,1
2021-04-01,57.25084485407066,2021,4,1,2021-04,2
2021-04-02,57.40833333333334,2021,4,2,2021-04,2
2021-04-03,57.445833333333326,2021,4,3,2021-04,2
2021-04-04,60.22361111111112,2021,4,4,2021-04,2
2021-04-05,57.24861111111111,2021,4,5,2021-04,2
2021-04-06,57.944444444444436,2021,4,6,2021-04,2
2021-04-07,57.294444444444444,2021,4,7,2021-04,2
2021-04-08,57.54861111111111,2021,4,8,2021-04,2
2021-04-09,57.50416666666666,2021,4,9,2021-04,2
2021-04-10,57.78575899843505,2021,4,10,2021-04,2
2021-04-11,57.829166666666666,2021,4,11,2021-04,2
2021-04-12,57.50694444444444,2021,4,12,2021-04,2
2021-04-13,59.352777777777774,2021,4,13,2021-04,2
2021-04-14,58.020833333333336,2021,4,14,2021-04,2
2021-04-15,57.24722222222222,2021,4,15,2021-04,2
2021-04-16,57.83472222222222,2021,4,16,2021-04,2
2021-04-17,62.733333333333334,2021,4,17,2021-04,2
2021-04-18,57.49027777777777,2021,4,18,2021-04,2
2021-04-19,57.39722222222222,2021,4,19,2021-04,2
2021-04-20,57.89166666666667,2021,4,20,2021-04,2
2021-04-21,57.918055555555554,2021,4,21,2021-04,2
2021-04-22,57.98749999999999,2021,4,22,2021-04,2
2021-04-23,57.855555555555554,2021,4,23,2021-04,2
2021-04-24,57.8625,2021,4,24,2021-04,2
2021-04-25,58.159722222222214,2021,4,25,2021-04,2
2021-04-26,58.06944444444444,2021,4,26,2021-04,2
2021-04-27,58.24861111111111,2021,4,27,2021-04,2
2021-04-28,59.079166666666666,2021,4,28,2021-04,2
2021-04-29,60.01388888888889,2021,4,29,2021-04,2
2021-04-30,57.11249999999999,2021,4,30,2021-04,2
2021-05-01,58.99305555555556,2021,5,1,2021-05,3
2021-05-02,57.94166666666666,2021,5,2,2021-05,3
2021-05-03,57.488888888888894,2021,5,3,2021-05,3
2021-05-04,57.94722222222223,2021,5,4,2021-05,3
2021-05-05,62.92777777777777,2021,5,5,2021-05,3
2021-05-06,57.447222222222216,2021,5,6,2021-05,3
2021-05-07,59.618055555555564,2021,5,7,2021-05,3
2021-05-08,57.597222222222214,2021,5,8,2021-05,3
2021-05-09,58.03888888888889,2021,5,9,2021-05,3
2021-05-10,57.85,2021,5,10,2021-05,3
2021-05-11,58.279166666666654,2021,5,11,2021-05,3
2021-05-12,58.6375,2021,5,12,2021-05,3
2021-05-13,58.60391414141414,2021,5,13,2021-05,3
2021-05-14,58.36666666666666,2021,5,14,2021-05,3
2021-05-15,57.96111111111111,2021,5,15,2021-05,3
2021-05-16,59.62000777000776,2021,5,16,2021-05,3
2021-05-17,60.733333333333334,2021,5,17,2021-05,3
2021-05-18,59.766666666666666,2021,5,18,2021-05,3
2021-05-19,60.416666666666664,2021,5,19,2021-05,3
2021-05-20,61.22916666666667,2021,5,20,2021-05,3
2021-05-21,61.195833333333326,2021,5,21,2021-05,3
2021-05-22,57.2,2021,5,22,2021-05,3
2021-05-23,57.42916666666666,2021,5,23,2021-05,3
2021-05-24,59.15846930846932,2021,5,24,2021-05,3
2021-05-25,57.823649961149954,2021,5,25,2021-05,3
2021-05-26,57.80553557154276,2021,5,26,2021-05,3
2021-05-27,65.0649766899767,2021,5,27,2021-05,3
2021-05-28,57.43421985815603,2021,5,28,2021-05,3
2021-05-29,57.73586057148731,2021,5,29,2021-05,3
2021-05-30,58.03898874001815,2021,5,30,2021-05,3
2021-05-31,58.20219371786273,2021,5,31,2021-05,3
2021-06-01,58.17730540195328,2021,6,1,2021-06,4
2021-06-02,57.89732866424356,2021,6,2,2021-06,4
2021-06-03,58.170905163792256,2021,6,3,2021-06,4
2021-06-04,62.982765131359955,2021,6,4,2021-06,4
2021-06-05,57.2699264491827,2021,6,5,2021-06,4
2021-06-06,58.317290979922085,2021,6,6,2021-06,4
2021-06-07,58.21278525764516,2021,6,7,2021-06,4
2021-06-08,58.37940199692648,2021,6,8,2021-06,4
2021-06-09,58.33847570209002,2021,6,9,2021-06,4
2021-06-10,58.34329985463196,2021,6,10,2021-06,4
2021-06-11,58.08180686717971,2021,6,11,2021-06,4
2021-06-12,58.051515485989384,2021,6,12,2021-06,4
